,id,team,weight,height,jersey,year,position,name,school,color,alt_color,logos
77,5093923,Arkansas,202.0,76.0,2.0,4.0,WR,Andrew Armstrong,Arkansas,#a41f35,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']"
78,4870797,Arkansas,241.0,75.0,9.0,2.0,TE,Luke Hasz,Arkansas,#a41f35,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']"
79,4565772,Arkansas,198.0,73.0,36.0,4.0,PK,Matthew Shipley,Arkansas,#a41f35,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']"
80,4429955,Ohio State,237.0,76.0,18.0,4.0,QB,Will Howard,Ohio State,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']"
81,4432710,Ohio State,208.0,70.0,32.0,4.0,RB,TreVeyon Henderson,Ohio State,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']"
82,5079720,Ohio State,215.0,75.0,4.0,1.0,WR,Jeremiah Smith,Ohio State,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']"
83,4429115,Ohio State,243.0,75.0,88.0,4.0,TE,Gee Scott Jr.,Ohio State,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']"
84,5081814,Ohio State,175.0,72.0,38.0,3.0,PK,Jayden Fielding,Ohio State,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']"
85,4430841,Georgia,220.0,76.0,15.0,4.0,QB,Carson Beck,Georgia,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']"
86,4685350,Georgia,205.0,69.0,1.0,3.0,RB,Trevor Etienne,Georgia,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']"
87,4429105,Georgia,185.0,72.0,11.0,4.0,WR,Arian Smith,Georgia,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']"
88,4870874,Georgia,240.0,75.0,7.0,2.0,TE,Lawson Luckie,Georgia,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']"
89,5077226,Georgia,175.0,70.0,91.0,2.0,PK,Peyton Woodring,Georgia,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']"
90,4432734,Alabama,225.0,74.0,4.0,3.0,QB,Jalen Milroe,Alabama,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']"
91,4685477,Alabama,218.0,70.0,26.0,3.0,RB,Jam Miller,Alabama,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']"
92,5141711,Alabama,175.0,72.0,2.0,1.0,WR,Ryan Williams,Alabama,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']"
93,4596545,Alabama,262.0,77.0,81.0,4.0,TE,CJ Dippre,Alabama,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']"
94,4880212,Alabama,183.0,72.0,14.0,4.0,PK,Graham Nicholson,Alabama,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']"
95,5084084,SMU,189.0,72.0,7.0,2.0,QB,Kevin Jennings,SMU,#354ca1,#cc0035,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']"
96,4596602,SMU,196.0,70.0,1.0,4.0,RB,Brashard Smith,SMU,#354ca1,#cc0035,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']"
97,4594446,SMU,182.0,69.0,13.0,4.0,WR,Roderick Daniels Jr.,SMU,#354ca1,#cc0035,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']"
98,4432260,SMU,254.0,77.0,88.0,4.0,TE,Matthew Hibner,SMU,#354ca1,#cc0035,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']"
99,5084095,SMU,206.0,76.0,41.0,3.0,PK,Collin Rogers,SMU,#354ca1,#cc0035,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']"
100,4360890,Texas State,200.0,72.0,3.0,4.0,QB,Jordan McCloud,Texas State,#4e1719,#b4975a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']"
101,5084798,Texas State,180.0,69.0,21.0,3.0,RB,Ismail Mahdi,Texas State,#4e1719,#b4975a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']"
102,5096863,Texas State,170.0,69.0,2.0,3.0,WR,Kole Wilson,Texas State,#4e1719,#b4975a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']"
103,4429632,Texas State,260.0,76.0,9.0,4.0,TE,Konner Fox,Texas State,#4e1719,#b4975a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']"
104,4879682,Texas State,185.0,72.0,36.0,3.0,PK,Mason Shipley,Texas State,#4e1719,#b4975a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']"
105,4714771,Penn State,238.0,77.0,15.0,3.0,QB,Drew Allar,Penn State,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']"
106,4685555,Penn State,227.0,72.0,10.0,3.0,RB,Nicholas Singleton,Penn State,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']"
107,4699354,Penn State,199.0,73.0,6.0,3.0,WR,Harrison Wallace III,Penn State,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']"
108,4431459,Penn State,257.0,78.0,44.0,4.0,TE,Tyler Warren,Penn State,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']"
109,5092232,Penn State,195.0,74.0,94.0,1.0,PK,Ryan Barker,Penn State,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']"
