,team,height,bat_hand,throw_hand,year,position,name,player_id,opponent,win,saves,innings,earned_runs_allowed,singles,doubles,triples,home_runs,runs,runs_batted_in,walks,hits_by_pitch,stolen_bases,caught_stealing
71,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,UTSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Texas Southern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
73,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,New Mexico State,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0
74,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,New Mexico State,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
75,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,New Mexico State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Prairie View,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0
77,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Alabama,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
78,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
79,Texas A&M,78.0,LEFT,LEFT,3.0,OF,Jace Laviolette,8902739.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Elon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
81,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Elon,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
82,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Elon,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
83,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,McNeese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Cal Poly,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
85,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Cal Poly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Cal Poly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Texas State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Arizona,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
89,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Oklahoma State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Rice,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
91,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,UTSA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Texas Southern,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
93,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,New Mexico State,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
94,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,New Mexico State,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,New Mexico State,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Prairie View,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
97,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Alabama,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
99,Texas A&M,73.0,BOTH,RIGHT,1.0,UT,Terrence Kiel II,9107761.0,Alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Elon,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
101,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Elon,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
102,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Elon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,McNeese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Cal Poly,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
105,Texas A&M,73.0,RIGHT,RIGHT,4.0,3B,Wyatt Henseler,9107774.0,Cal Poly,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
